PID,BLK,BRCV
1435,JJ-4100,TG-1500
2839,OR-0200,XX-0000
3701,GW-1200,XX-0000
4910,TH-0300,XX-0000
4968,EW-1200,BK-1100
5098,MW-1100,RP-1000
5188,MB-4100,BM-0700
5428,AS-1200,RB-0700
6266,SB-2000,XX-0000
6397,RJ-2400,XX-0000
6858,KM-2400,DR-2700
7665,MW-1100,JJ-2300
10499,DD-0100,GD-0100
11274,DT-0400,XX-0000
11311,WS-0100,XX-0000
12373,JT-2700,XX-0000
13009,JG-1300,LF-0400
13495,BB-3200,CS-3700
13642,AD-1500,EA-2000
13948,WS-0100,DA-0100
16344,NW-0300,RR-0500
16420,MJ-2000,TJ-0500
17623,BW-0200,MC-1600
19215,SB-2000,XX-0000
19536,GE-0200,PS-0700
20708,AD-1500,XX-0000
21100,JM-3700,DS-4900
25760,IG-0200,IG-0200
26552,PW-0900,HJ-0100
27380,LF-0600,CS-0800
35512,PS-0200,RH-2000
35802,BB-3200,XX-0000
36165,CE-0100,CE-0100
36247,CE-0100,LW-1000
36289,SH-0600,SH-0600
36421,JW-3700,DE-1200
37694,BN-0500,XX-0000
39409,BM-0200,TR-1200
41591,JB-4500,JB-4500
41661,KW-0600,XX-0000
41665,CC-3500,XX-0000
41679,CC-3500,XX-0000
41720,KW-0600,XX-0000
43581,SG-0600,XX-0000
44613,LL-0800,XX-0000
48834,NK-0300,IR-0300
48964,DS-5000,XX-0000
49339,DM-2600,DM-2600
50417,WT-0100,XX-0000
50430,CW-3700,XX-0000
52364,MR-0800,XX-0000
53052,AB-0400,AB-0400
54516,HF-0200,DM-2600
54609,BM-3200,LM-2000
54634,TJ-2500,JC-2600
54988,CW-2100,XX-0000
56210,JH-3300,CH-2200
56362,JW-3900,XX-0000
57308,EE-0300,XX-0000
58535,BS-1200,BS-1200
59226,TD-0600,TD-0600
59464,JP-1100,XX-0000
59654,SR-1000,XX-0000
59750,SR-1000,XX-0000
60302,AD-1500,XX-0000
66620,RS-0900,TG-1500
68407,RB-0700,TY-0200
69199,FW-0200,XX-0000
69885,AS-0400,JB-0500
70070,MS-5500,XX-0000
76144,DB-6000,XX-0000
77482,TY-0200,RA-0100
78114,TJ-0400,JW-4600
78810,KM-2400,XX-0000
80081,JW-3900,MG-1500
81076,CH-2200,JG-1600
81401,GC-0100,JB-3000
82314,AD-1500,AD-1500
82593,DS-5000,XX-0000
82608,CH-4800,XX-0000
83622,BM-3200,TB-3300
84022,MR-1800,XX-0000
84296,JG-1600,XX-0000
85337,MS-5500,XX-0000
85845,DH-4100,TT-1700
86862,EW-1800,SR-0600
86956,SR-1000,XX-0000
89019,CF-1400,TK-0500
89377,CP-1900,XX-0000
91872,JW-3900,XX-0000
93158,KB-1000,JF-0500
93218,AM-1600,TP-1200
93766,ER-0100,KK-0400
94638,SB-1300,XX-0000
94676,EE-0300,XX-0000
95106,TJ-2500,XX-0000
96139,MC-2300,XX-0000
97383,LA-0800,GC-0100
97780,AH-2700,XX-0000
99635,MB-1200,GC-0100
99688,KB-2600,KB-2600
100044,LJ-1200,KM-0700
101697,EW-0600,XX-0000
101805,DR-0500,EW-0300
102100,BH-1700,HG-0200
102599,CB-4300,XX-0000
104117,JA-2200,XX-0000
104640,AD-1200,XX-0000
104647,JE-1100,XX-0000
105766,SG-0700,KM-0300
106432,EK-0200,XX-0000
106797,MS-4800,XX-0000
106887,BF-0400,GM-0400
106917,JF-0500,JF-0900
108035,JH-0300,XX-0000
109121,LL-0600,OS-1000
109373,DS-5000,MR-2400
110121,RS-0900,XX-0000
110490,ER-0100,ER-0100
110667,SB-2000,XX-0000
110764,SB-2000,XX-0000
111486,RS-0900,XX-0000
112981,KM-2300,KM-2300
112985,FA-0100,BB-0800
113173,CC-1800,PP-0300
113561,CW-2400,RJ-1600
113664,GW-0300,XX-0000
114546,KB-2100,JB-4100
115105,TP-2300,DO-0200
115517,RW-4100,XX-0000
115888,MM-3700,WD-0500
116285,MS-4500,DR-3300
116417,JH-3400,XX-0000
116845,KP-0800,XX-0000
118053,CH-4800,XX-0000
121787,KJ-0400,TC-2700
122013,GJ-0100,XX-0000
122207,MR-1000,DD-2100
123201,JM-2500,KW-1300
124455,SR-1000,TL-1300
124536,TW-2200,XX-0000
124552,RB-2300,DM-2600
126158,MS-1700,AU-0100
127972,TJ-1700,EJ-0800
128428,RS-1400,XX-0000
128476,MM-3400,XX-0000
128905,EJ-0400,XX-0000
130008,BL-1200,TJ-0400
132845,KJ-0400,TT-1700
132936,JP-2000,XX-0000
132968,KJ-0400,XX-0000
135573,OS-0100,EJ-0800
137419,DK-0900,CA-0400
137716,MW-1900,BJ-2500
138449,PD-0100,XX-0000
139884,CH-0800,XX-0000
140164,LT-0900,XX-0000
140256,ER-0100,ER-0100
142348,RA-1200,JK-0800
143713,RS-0900,TB-2300
144110,WS-0100,XX-0000
144162,RB-0700,XX-0000
144794,AW-1500,XX-0000
145168,JH-0300,XX-0000
145337,JT-2700,XX-0000
145801,JB-5300,WM-0100
146083,SG-0700,DH-1300
146223,IR-0200,RJ-1700
146643,PP-1100,XX-0000
147216,EJ-0400,XX-0000
148376,WA-0200,OS-1000
148475,TJ-0500,XX-0000
148628,DL-1300,OH-0500
149763,JD-1700,XX-0000
150295,SW-1500,XX-0000
154585,ER-0100,ER-0100
155591,RW-0200,KW-0200
155615,RW-0200,DG-2100
156251,ML-1600,XX-0000
158128,OS-0100,XX-0000
158468,ED-0800,XX-0000
158524,JB-7200,XX-0000
158766,JD-3100,KG-0300
160771,DG-0900,RB-0700
160844,TJ-2500,XX-0000
163893,EB-1700,XX-0000
164325,KS-1600,FT-0200
166131,FB-0700,XX-0000
166901,JS-7600,TP-2300
167891,JB-4100,XX-0000
168142,EF-0100,XX-0000
169096,OU-0100,DT-2000
169141,OU-0100,XX-0000
170274,RB-3000,XX-0000
170403,RS-0900,SM-2500
171385,SB-2000,XX-0000
172077,SR-1000,BW-0200
175602,JS-0200,XX-0000
178986,SG-0700,MM-3700
183362,ND-0400,XX-0000
185812,GH-0800,XX-0000
190401,NA-0200,AG-0600
190762,AP-0500,JW-1900
190986,TJ-0700,WH-0200
192592,RM-3000,XX-0000
194331,MC-2300,XX-0000
195658,OR-0200,XX-0000
