PID,TYPE,BC,PSR,TRG,CONV
456,PASS,XX-0000,RC-2800,RI-0200,Y
1276,RUSH,KF-0200,XX-0000,XX-0000,N
1408,RUSH,JS-6500,XX-0000,XX-0000,Y
1621,PASS,XX-0000,JP-3200,DB-3100,N
1766,PASS,XX-0000,RL-0300,FJ-0500,N
2411,RUSH,OG-0300,XX-0000,XX-0000,N
2421,PASS,XX-0000,KW-0500,AH-0200,N
2527,PASS,XX-0000,TB-0200,BC-1600,Y
2777,PASS,XX-0000,BF-0100,TD-0800,Y
3050,RUSH,MA-1000,XX-0000,XX-0000,Y
3736,PASS,XX-0000,DM-2200,CJ-1400,N
3859,PASS,XX-0000,XX-0000,XX-0000,N
3902,PASS,XX-0000,JB-3800,WJ-0200,N
4069,PASS,XX-0000,RM-4300,TO-0200,Y
4703,RUSH,TJ-2700,XX-0000,XX-0000,N
4879,RUSH,CM-0600,XX-0000,XX-0000,N
6136,RUSH,LJ-1000,XX-0000,XX-0000,N
7953,PASS,XX-0000,GF-0400,RS-2100,N
8048,PASS,XX-0000,EG-0600,TR-0300,N
9002,PASS,XX-0000,VT-0200,LC-0800,Y
9167,RUSH,RD-0700,XX-0000,XX-0000,N
9459,RUSH,EJ-0200,XX-0000,XX-0000,Y
9567,PASS,XX-0000,TA-0300,JH-1800,Y
10082,RUSH,MA-1000,XX-0000,XX-0000,N
10134,PASS,XX-0000,BG-1900,EM-0500,Y
11425,PASS,XX-0000,DM-2200,TS-1900,Y
11715,RUSH,SP-1400,XX-0000,XX-0000,N
12583,PASS,XX-0000,BF-0100,DD-2600,Y
13555,RUSH,RG-0200,XX-0000,XX-0000,Y
15305,RUSH,TB-0400,XX-0000,XX-0000,N
15715,PASS,XX-0000,KL-1700,LF-0300,Y
15738,RUSH,MF-0300,XX-0000,XX-0000,N
15760,RUSH,MF-0300,XX-0000,XX-0000,Y
15781,RUSH,MF-0300,XX-0000,XX-0000,Y
15829,RUSH,JA-1600,XX-0000,XX-0000,Y
15839,PASS,XX-0000,KW-0500,RW-2900,Y
16018,RUSH,BB-1100,XX-0000,XX-0000,N
16378,RUSH,JS-6500,XX-0000,XX-0000,Y
16607,PASS,XX-0000,CC-1400,RK-0200,N
17408,PASS,XX-0000,PM-0200,TW-2100,N
17715,PASS,XX-0000,EG-0600,DA-0600,N
17756,PASS,XX-0000,TG-1600,TH-2300,N
17898,PASS,XX-0000,DC-4400,MW-2900,Y
18555,PASS,XX-0000,VT-0200,RA-1100,N
19671,RUSH,JS-6500,XX-0000,XX-0000,Y
20398,PASS,XX-0000,JK-1500,CF-0300,N
20717,PASS,XX-0000,JH-1100,TF-0700,N
20937,RUSH,KH-1500,XX-0000,XX-0000,N
20974,RUSH,JP-3200,XX-0000,XX-0000,N
21308,PASS,XX-0000,PM-0200,MP-1500,Y
21350,RUSH,EJ-0200,XX-0000,XX-0000,N
21802,PASS,XX-0000,SC-0200,JM-6400,Y
22168,RUSH,TJ-0400,XX-0000,XX-0000,Y
22811,RUSH,JH-1100,XX-0000,XX-0000,N
23137,RUSH,SB-0700,XX-0000,XX-0000,Y
23796,RUSH,KF-0200,XX-0000,XX-0000,Y
25281,PASS,XX-0000,MH-1600,AF-1300,N
25629,PASS,XX-0000,VT-0200,MC-2100,Y
27301,PASS,XX-0000,AB-2900,WJ-0200,N
27627,PASS,XX-0000,DB-4500,DB-3100,N
28072,PASS,XX-0000,KS-2300,MB-4400,N
28090,RUSH,RH-3400,XX-0000,XX-0000,Y
28231,PASS,XX-0000,JG-1000,JT-2800,N
28426,RUSH,CW-0700,XX-0000,XX-0000,N
31181,RUSH,AS-2500,XX-0000,XX-0000,N
32525,PASS,XX-0000,JG-0600,JS-6900,Y
33738,PASS,XX-0000,XX-0000,XX-0000,N
33824,PASS,XX-0000,JG-1000,AC-2300,N
34427,PASS,XX-0000,EG-0600,TG-1300,N
34872,RUSH,TA-0500,XX-0000,XX-0000,Y
34894,RUSH,WR-0500,XX-0000,XX-0000,N
35022,PASS,XX-0000,KW-0500,AH-0200,N
35080,PASS,XX-0000,DC-4400,RM-5000,Y
35543,RUSH,CM-2600,XX-0000,XX-0000,N
35571,RUSH,SB-1900,XX-0000,XX-0000,Y
