PID,DFB
46,AP-1700
67,RB-4600
69,DV-0200
106,RB-4600
118,AP-1700
178,HN-0400
195,WR-0200
222,FB-0800
281,GW-0100
320,LL-0800
330,AH-1000
367,DN-0800
384,BD-0700
395,PS-0700
398,DM-2900
452,TV-0200
485,SB-2000
487,RP-0800
523,NW-0200
531,AE-0400
553,BH-0500
573,TW-2900
604,TW-2900
696,JB-7900
698,MP-1000
754,TP-1900
758,DE-0400
760,JH-2600
765,TP-1900
774,PD-0400
801,EJ-0700
837,RT-1200
867,RT-1200
875,PS-1000
893,BM-0200
913,DG-0500
915,PS-1000
986,BM-2900
995,TS-2200
1029,OT-0100
1056,TS-2200
1143,AL-0300
1217,BH-0400
1242,DB-4200
1248,CE-0100
1293,FW-0500
1302,BW-1100
1337,MF-0400
1373,LC-0100
1396,RR-0500
1404,BW-1100
1413,TF-0100
1432,CC-1800
1434,RR-0500
1454,SB-1000
1497,DT-0700
1504,JS-1700
1506,EM-0900
1533,EM-0900
1564,MS-5300
1567,SW-1500
1616,RS-2900
1626,JP-1100
1632,AD-1500
1648,EA-0400
1652,EA-0400
1699,JS-1500
1704,EA-0200
1709,MD-1000
1716,EA-0400
1737,WT-0100
1746,GD-0300
1753,DR-3600
1764,EA-0400
1783,MD-1000
1810,DW-1400
1823,MM-2300
1836,RL-0600
1845,JP-3600
1865,EH-0900
1892,DS-4000
1894,SA-0200
1911,DS-4000
1938,RB-4700
1972,DE-1200
1989,CB-0100
1993,DS-2900
1998,ED-0100
2001,DS-0400
2005,MR-2300
2020,MC-0500
2029,ED-0100
2038,SS-1000
2046,DW-2800
2122,AW-1800
2141,SR-1100
2151,PH-0100
2190,AW-1800
2220,SP-1700
2237,HJ-0100
2256,JT-2700
2261,SR-1100
2268,JF-1800
2308,LF-0300
2330,DM-1000
2333,KL-1700
2375,MB-3200
2385,TL-1300
2417,TB-3700
2443,HN-0400
2446,MM-2300
2456,HN-0400
2470,FB-0800
2477,JS-1900
2479,RW-4100
2531,DS-4000
2542,KH-1700
2552,KH-0500
2586,RS-3000
2610,AB-1000
2680,TW-2900
2724,JH-4600
2746,TW-2900
2756,SC-1600
2758,KI-0100
2770,HJ-0100
2793,TC-0800
2795,RH-1500
2814,SC-1000
2827,SF-0300
2837,JM-4400
2841,AH-2000
2854,RH-1500
2894,LS-0100
2895,JM-4400
2903,TC-0800
2926,DM-1500
2941,MS-2700
2942,MS-2700
2989,JS-5300
3001,TP-2300
3023,JM-5300
3054,TP-2300
3061,AA-1200
3063,RC-2600
3075,RB-2700
3085,KT-0800
3087,RC-2600
3137,DG-2500
3138,DG-2500
3195,MW-0300
3230,DW-2800
3231,BS-2800
3338,DR-3600
3377,DR-3600
3409,JH-2000
3420,EA-0400
3426,JH-2000
3438,SM-0200
3441,DR-3500
3464,RT-0200
3481,PS-1000
3493,PS-1000
3510,PS-1000
3515,KT-0200
3528,CD-1700
3537,PS-1000
3544,JW-5000
3557,CH-4300
3567,RT-0200
3598,CJ-1900
3610,MC-0100
3613,DT-0700
3631,CJ-1900
3643,CJ-1900
3644,JA-2300
3667,JA-2300
3669,JS-1700
3683,JT-3400
3748,FW-0500
3756,AD-1200
3761,NH-0100
3816,GD-0300
3946,AP-1600
3965,ZB-0300
3979,ES-1600
3980,ES-1600
4014,JW-1600
4026,JP-2500
4056,LW-1500
4059,RW-2000
4084,RT-1200
4097,DB-2800
4106,WW-0700
4135,SS-2600
4146,CB-3300
4214,CK-0500
4230,CK-0500
4233,WW-0700
4265,MW-1100
4305,BK-0600
4321,DA-0100
4325,DR-2100
4347,BK-0600
4353,TS-2200
4396,EV-0100
4411,JW-6300
4528,DC-2200
4548,ER-0300
4553,MR-1300
4633,PS-0700
4642,PT-0500
4675,PT-0500
4691,RM-3300
4694,PT-0500
4729,OS-0800
4762,TL-0500
4773,BC-2700
4783,SB-2000
4790,OS-0800
4817,AG-0800
4823,TJ-2500
4834,TL-0500
4839,MC-2100
4859,AK-0300
4862,TB-3400
4870,AG-0800
4881,AG-0800
4890,DW-2100
4907,RB-2700
4918,DE-1200
4944,JK-0700
4979,BS-2500
4987,SD-0900
5009,KB-2100
5013,LW-1500
5083,CS-1600
5086,CJ-1900
5114,TS-2200
5157,JS-1700
5159,SW-1500
5223,EL-0400
5247,SC-1000
5248,LJ-1300
5255,OR-0200
5260,WR-0200
5261,CF-1500
5279,DW-1400
5280,JG-1300
5285,CF-1500
5304,PE-0200
5315,LK-0500
5351,CA-0300
5379,SQ-0100
5443,CC-1800
5451,SB-1000
5462,JD-3100
5516,DS-1600
5543,TV-0200
5550,TW-2900
5553,AR-1700
5559,BH-0500
5574,MM-0500
5577,SM-1600
5582,BD-0700
5586,BT-0500
5590,TM-1100
5595,JT-1200
5651,TM-1100
5674,GW-0100
5709,KT-0400
5745,DD-0100
5746,DD-0100
5749,HN-0400
5751,TB-2200
5783,HN-0400
5788,TC-0800
5796,MB-0300
5797,AH-2000
5805,KH-0500
5832,FB-0800
5840,PD-0400
5845,GD-0300
5850,MD-1000
5856,DL-1500
5876,PD-0400
5884,JP-1100
5928,DL-1500
5950,RH-1100
5998,DE-0400
6000,EW-0300
6098,CD-1700
6122,EM-0800
6159,TL-0500
6188,JF-0500
6240,HJ-0100
6250,DP-1900
6267,KC-0300
6297,KI-0100
6301,AW-1800
6328,VG-0200
6396,DR-3600
6407,JH-2000
6409,EA-0400
6410,TP-2300
6414,EB-1700
