PID,FGXP,FKICKER,DIST,GOOD
10,XP,WR-0500,20,Y
17,FG,MA-0700,43,Y
34,FG,MA-0700,44,Y
52,FG,MA-0700,24,Y
64,FG,MA-0700,44,Y
76,XP,MA-0700,20,Y
86,XP,WR-0500,20,Y
95,FG,MA-0700,48,Y
99,XP,MA-0700,20,Y
112,XP,WR-0500,20,Y
123,XP,MA-0700,20,Y
159,XP,WR-0500,20,Y
207,XP,MH-3100,20,Y
227,XP,PD-0200,20,Y
241,FG,MH-3100,50,Y
261,XP,MH-3100,20,Y
277,FG,MH-3100,25,Y
300,XP,MH-3100,20,Y
324,XP,DA-0300,20,Y
352,XP,DA-0300,20,Y
357,XP,DA-0300,20,Y
375,FG,DA-0300,33,Y
387,FG,TS-1100,34,Y
401,FG,TS-1100,38,Y
416,FG,DA-0300,37,Y
432,XP,DA-0300,20,Y
440,XP,DA-0300,20,Y
493,XP,RL-1300,20,Y
510,XP,JH-0500,20,Y
517,FG,JH-0500,52,N
541,FG,RL-1300,45,Y
563,FG,JH-0500,23,Y
583,FG,JH-0500,48,N
595,FG,RL-1300,42,Y
618,FG,JH-0500,39,Y
626,FG,RL-1300,42,Y
634,XP,JH-0500,20,Y
687,XP,MV-0100,20,Y
710,XP,PS-0900,20,Y
744,XP,MV-0100,20,Y
756,XP,PS-0900,20,Y
775,FG,MV-0100,23,Y
780,XP,MV-0100,20,Y
799,FG,MV-0100,40,Y
828,XP,OM-0100,20,Y
842,FG,OM-0100,48,Y
851,FG,OM-0100,25,Y
859,FG,OM-0100,30,Y
877,FG,KH-1500,52,N
885,XP,OM-0100,20,Y
969,FG,GA-0300,35,Y
982,XP,PE-0100,20,Y
990,FG,GA-0300,38,Y
1019,FG,PE-0100,29,Y
1027,FG,GA-0300,45,Y
1040,FG,PE-0100,49,Y
1052,XP,PE-0100,20,Y
1063,XP,GA-0300,20,Y
1087,XP,GA-0300,20,Y
1104,XP,GA-0300,20,Y
1117,XP,PE-0100,20,Y
1129,FG,AV-0400,30,Y
1168,XP,MG-1200,20,Y
1178,XP,AV-0400,20,Y
1198,XP,MG-1200,20,Y
1203,FG,AV-0400,55,N
1235,XP,MG-1200,20,Y
1307,XP,DB-3900,20,Y
1351,FG,JH-0900,24,Y
1362,FG,JH-0900,30,Y
1416,FG,DB-3900,48,Y
1435,FG,DB-3900,52,N
1492,XP,BD-0100,20,Y
1510,XP,BD-0100,20,Y
1573,FG,CB-1700,32,Y
1590,XP,BD-0100,20,Y
1610,XP,CB-1700,20,Y
1700,FG,SJ-0300,41,N
1785,XP,SJ-0300,20,Y
1812,FG,MS-5200,23,Y
1820,XP,MS-5200,20,Y
1866,FG,MS-5200,26,Y
1875,FG,MS-5200,33,Y
1884,FG,KB-2300,45,N
1963,XP,BC-2300,20,Y
1965,XP,RC-2900,20,Y
1980,FG,RC-2900,29,Y
2022,FG,RC-2900,27,N
2054,FG,BC-2300,24,Y
2076,XP,BC-2300,20,Y
2091,FG,BC-2300,21,Y
2102,XP,RC-2900,20,Y
2148,XP,SC-0700,20,Y
2166,FG,AD-0800,38,Y
2178,FG,SC-0700,51,N
2185,FG,AD-0800,27,Y
2218,FG,SC-0700,42,Y
2230,FG,SC-0700,41,Y
2246,XP,AD-0800,20,Y
2273,FG,SC-0700,33,Y
2277,FG,CH-2900,60,N
2289,XP,JE-0200,20,Y
2305,XP,JW-3300,20,Y
2315,FG,JE-0200,32,Y
2326,XP,JW-3300,20,Y
2338,XP,JE-0200,20,Y
2349,XP,JW-3300,20,Y
2362,FG,JE-0200,38,Y
2366,XP,JW-3300,20,Y
2380,XP,JW-3300,20,Y
2389,XP,JE-0200,20,Y
2407,FG,JE-0200,36,Y
2438,FG,MH-3100,36,Y
2450,XP,MH-3100,20,Y
2465,XP,MH-3100,20,Y
2475,XP,MS-5200,20,Y
