PID,FUM,FRCV,FRY,FORC
6,CG-0400,XX-0000,0,AA-1200
13,JA-1600,XX-0000,0,LS-0300
36,GC-0500,GC-0500,0,MC-0600
141,JR-2000,JR-2000,0,KB-2100
155,JA-1600,KN-0400,0,PP-1100
200,SM-0100,KM-0900,0,DH-3600
251,AS-0800,LM-0500,3,TS-1800
512,AG-1600,SE-0400,0,RL-1500
518,BF-0100,ED-0600,0,SE-0400
565,BM-3100,BM-3100,0,BC-2700
660,EJ-0200,JH-2600,0,MP-0600
833,JK-1500,JK-1500,0,XX-0000
853,JK-1500,JT-0900,0,XX-0000
896,LS-1100,XX-0000,0,RT-1200
993,MR-1400,RG-2000,0,EM-0800
1081,DC-4400,DC-4400,0,XX-0000
1083,RM-5000,XX-0000,0,JA-3100
1095,MB-2800,MB-2800,0,XX-0000
1230,KF-0200,JL-3400,8,DB-4200
1232,MA-0600,MA-0600,0,CS-2100
1240,DB-2600,DB-2600,0,XX-0000
1300,JB-3800,JB-3800,0,XX-0000
1341,WJ-0200,MW-0300,0,SB-1000
1395,RW-2600,JH-5200,0,SK-0800
1426,RW-2600,JD-1700,0,JD-1700
1429,SI-0100,CO-0800,1,DH-4100
1444,JJ-2300,JJ-2300,0,XX-0000
1445,KP-0900,KP-0900,0,MW-0300
1522,JP-3200,MB-0700,0,XX-0000
1529,GC-0800,AW-1300,0,AW-1300
1550,KC-2000,KC-2000,0,XX-0000
1593,CD-1600,JP-3200,0,XX-0000
1713,RL-0300,RL-0300,0,XX-0000
1743,RL-0300,RU-0100,8,LJ-1200
1778,RG-0200,RG-0200,0,XX-0000
1808,KG-0800,SA-0200,0,RB-4700
1921,KS-2300,AF-0100,0,XX-0000
2047,SB-0700,NK-0300,4,BS-2800
2253,SM-2400,FM-0400,0,PW-0900
2360,TN-0100,BG-1900,0,XX-0000
2445,CH-4400,ZW-0200,0,JS-1900
2473,CH-4400,DS-4000,0,RB-4700
2506,TB-0200,HS-0300,0,RW-4300
2510,MB-4500,MB-4500,0,XX-0000
2577,SM-0100,JS-1900,0,JS-1900
2687,BF-0100,PH-0100,29,MW-1500
2764,TD-0800,HJ-0100,14,DP-1900
2818,BB-1700,CY-0100,0,WR-0200
2865,TC-2600,SZ-0100,0,BS-2000
2974,CC-1400,AR-0300,0,TP-2300
3016,CC-1400,BR-1300,0,XX-0000
3094,SJ-0400,BK-1100,0,BJ-1000
3109,DJ-1800,MT-0100,38,HH-0100
3241,BJ-1400,SD-0400,0,AA-0500
3290,RD-1900,RD-1900,0,TP-1900
3361,KD-1000,GB-0500,0,JH-2000
3480,DC-4400,DC-4400,0,XX-0000
3497,DC-4400,JT-0900,0,TA-0900
3571,RM-5000,RS-2000,0,SM-0200
3589,KC-2000,AT-0900,0,HD-0400
3797,JB-3800,OR-0300,0,JW-3700
3812,JB-3800,JB-3800,0,XX-0000
3874,RL-0300,TG-0400,0,FW-0500
3941,TO-0200,XX-0000,0,ED-0100
3970,MM-5500,XX-0000,0,ZB-0300
4133,KW-0500,MF-0300,0,XX-0000
4216,JK-1500,KC-0500,2,TC-2200
4261,CM-2200,SQ-0100,5,RB-0700
4314,DW-2500,RB-0700,24,DA-0100
4427,SM-2400,DW-3150,9,XX-0000
4465,EG-0600,EG-0600,0,KH-2200
4591,TJ-2700,GE-0200,0,CH-2500
4593,ES-1000,CS-1200,0,KL-0500
4597,MP-1300,AC-1600,0,KL-0300
4598,DB-3100,XX-0000,0,KL-0300
4664,JM-3500,DB-0900,0,DB-0900
4974,CC-1400,CC-1400,0,XX-0000
4985,TM-0900,LW-1500,0,ED-0100
4989,KW-0200,KW-0200,0,XX-0000
5029,TB-1200,RB-4600,0,RB-2700
5032,JA-1600,DE-1200,-3,ER-0400
5153,TB-0400,MB-4100,12,TS-2200
5184,CM-2200,MS-5300,0,XX-0000
5295,DC-1500,CS-1100,6,JG-1300
5340,HW-0100,HW-0100,0,DM-1500
5366,CB-0900,JS-6500,0,XX-0000
