PID,INT,YDS
122,AA-1200,36
356,JT-3400,27
383,IR-0300,14
394,CE-0500,8
396,DN-0800,24
464,PS-0700,0
491,DS-1600,29
647,VG-0200,0
666,DE-0400,3
779,JB-7900,27
834,SM-0200,4
847,SM-0200,34
865,PS-1000,12
889,BM-0200,0
1075,JA-3100,2
1306,SK-0500,37
1356,KS-0300,6
1534,EM-0900,2
1539,EM-0900,0
1555,SW-1500,40
1560,KL-0500,11
1657,MP-1600,25
1696,CW-3700,13
1790,WT-0100,3
2116,KC-0300,8
2298,AW-1600,1
2400,AW-1600,0
2410,TB-3700,32
2521,RS-3000,13
2536,RS-3000,24
2584,KH-1700,30
2622,CH-1800,2
2723,VH-0400,3
2867,TS-2900,5
2898,LS-0100,0
2921,EL-0400,7
3148,KP-1100,78
3180,CB-0100,0
3226,KS-0300,6
3247,CB-0100,0
3248,BW-1100,0
3259,TF-0100,0
3370,TJ-0800,25
3428,TJ-0800,0
3463,BM-0200,14
3502,KT-0200,0
3511,BW-0300,1
3563,TB-2000,0
3791,DL-1500,3
3849,OR-0300,18
3850,FW-0500,27
3908,AM-2400,24
3948,JP-2500,31
4010,ED-0100,3
4126,JB-2900,84
4157,KL-1700,9
4239,TL-1300,0
4279,DA-0100,1
4306,DA-0100,18
4470,DE-0400,42
4498,JH-2600,38
4756,AL-0300,24
4896,RB-4600,38
5017,AA-1200,37
5297,CF-1500,0
5479,JL-3400,36
5505,DA-0100,13
5534,BD-0700,0
5579,DS-1600,7
5630,TV-0200,0
5638,DM-2900,20
5762,HN-0400,10
5779,SF-0300,1
5821,AB-1000,39
5851,MD-1000,56
5966,LB-1700,33
6115,CD-1700,0
6118,LM-1300,0
6287,SC-1600,2
6334,SF-0600,1
6427,JM-5300,9
6476,TB-3700,5
6577,AM-2400,0
6629,WT-0300,11
6703,DB-2800,22
6704,JK-0400,0
6784,DM-1000,0
6845,JT-3200,3
6847,PS-1000,43
7024,SS-1000,0
7080,IR-0300,46
7173,DS-1600,0
7222,TW-2900,21
7236,DS-1600,0
7251,LB-1800,3
7267,DB-2800,8
7340,PK-0200,8
7393,DM-1000,3
7463,RW-4100,2
7482,DS-4000,0
7633,KS-0300,3
7685,KS-0300,5
7687,BU-0200,0
7719,KS-0300,0
7802,JP-2500,2
7952,RC-2600,26
8026,RC-2600,0
8053,MP-0600,15
8078,HT-0400,16
8108,TL-0500,32
8132,GJ-0300,3
8281,TV-0200,0
8366,TV-0200,17
8433,WT-0100,12
8445,WT-0100,46
8569,CS-1100,33
8584,CS-1100,5
8660,DW-1400,-2
8797,WW-0700,69
8827,SS-2600,0
8926,VG-0200,17
8928,DR-2100,1
8939,AG-0800,0
8956,RB-0700,37
8976,JD-3100,10
9143,DS-0400,32
9239,MP-1000,5
9348,CC-4500,3
9388,AW-1800,8
9580,ED-0100,0
9587,DW-2100,14
9705,TS-2900,7
9844,RW-4100,0
9846,CF-1500,0
9867,DS-4000,4
9937,RL-0600,1
10058,TB-3700,9
10102,TJ-2500,0
10289,OT-0100,0
10318,TP-0400,36
10508,FB-0800,0
10549,LF-0400,0
10943,JS-2200,0
11059,DS-2100,19
11132,DW-0600,4
11146,SR-1100,41
11172,DG-2500,0
11354,RB-4600,0
11369,HD-0400,9
11379,RB-2700,12
11664,JW-6300,0
11844,JS-1700,32
11880,RB-2700,0
11934,JA-2300,-2
11948,AA-1200,24
12036,CB-3300,0
12149,MB-4100,35
12199,CO-0800,0
12285,DS-2600,15
12306,SK-0500,0
12375,DW-3400,36
12526,LB-1800,22
12539,LC-0100,42
12613,TF-0100,0
12624,KS-0300,19
12726,KI-0100,0
12778,JW-5000,19
12910,TL-0500,0
12931,TJ-2500,20
12942,AH-1100,11
12990,DW-1400,31
13099,BA-0300,9
13160,SS-1000,15
13233,DM-2900,4
13265,DG-2500,33
13277,BJ-1000,17
13376,TB-3700,31
13422,TB-3700,33
13596,PP-1100,13
13786,RW-4100,18
13792,KH-1700,25
13825,CM-1200,44
13898,DR-2100,0
14073,BT-0500,31
14137,TV-0200,17
14145,SC-1600,2
14210,RH-1100,0
14328,HJ-0100,0
14418,BJ-1000,2
14474,BJ-1000,36
14483,RC-2600,5
14854,VG-0200,21
14963,VG-0200,36
14985,ML-1800,23
15006,AG-0800,0
15058,KM-0500,0
15176,JS-1700,0
15217,SW-1500,12
15225,DT-0700,0
15253,RS-2900,0
15297,MB-0700,7
15460,DW-1400,30
15515,BA-0300,15
15660,CC-4500,0
15724,DM-1000,0
15807,RB-4600,3
15922,KM-2300,0
15934,DS-4000,6
16387,BW-1100,16
16437,CC-1800,1
16466,BW-1100,0
16519,RB-2700,13
16699,RG-1200,24
16705,RG-1200,1
16729,DS-2100,0
16744,KH-1700,19
16747,MB-2900,2
16826,MM-3400,30
17050,CC-0800,6
17134,PS-0700,43
17184,CW-2500,0
17210,DW-4600,0
17427,DS-0400,21
17539,ML-2300,0
17547,MS-4700,0
17590,JH-2600,10
17612,JB-7200,0
17708,GW-0600,28
17881,SR-0900,10
17968,EA-0400,0
18045,WW-0700,0
18185,BD-0700,30
18243,TP-0400,7
18294,LK-0500,1
18329,CS-1100,3
18363,BA-0300,7
18462,SM-0200,0
18493,PS-1000,0
18528,BW-0300,12
18535,MC-2100,0
18620,MC-2100,7
18625,MC-2100,0
18721,SK-0500,0
18735,KM-2200,40
18778,CC-1500,0
18835,SG-0600,0
18868,AA-1200,42
18888,MM-3400,8
18936,RB-4600,13
18954,RB-4600,0
19052,DW-1400,0
19140,KC-0300,22
19154,HJ-0100,45
19303,WR-0200,5
19400,TC-0800,30
19457,DD-0100,21
19665,BW-1100,9
19700,TP-1900,1
19705,RR-0500,7
19732,DM-0100,0
19887,BM-0200,24
20034,EM-0900,1
20079,JW-1600,8
20268,GW-0600,0
20298,JB-2900,32
20333,JH-2600,0
20346,JB-2900,0
20363,AS-1000,7
20410,PD-0400,0
20477,DB-4200,34
20551,DA-0100,5
20710,JS-1500,0
20734,MP-1600,0
20811,SR-1100,81
20878,SR-1100,0
20885,DS-2100,0
20897,AW-1300,26
20969,ZW-0100,0
21012,DS-0400,32
21057,DA-0100,23
21072,DA-0100,22
21084,RB-4600,60
21124,DR-2100,0
21177,JD-3100,-1
21283,WH-0200,35
21646,EM-0900,6
21824,AD-1000,15
21863,KI-0100,1
21920,JH-4600,0
22011,SK-0500,0
22152,FW-0500,0
22215,KK-0400,0
22242,JF-0500,0
22243,EB-1700,0
22363,CW-3700,23
22405,JT-0700,24
22570,BD-0700,0
22573,DW-4600,12
22700,BW-2800,1
22735,AS-1000,8
22802,RH-1100,0
22891,SR-1100,2
22897,JP-3600,0
23112,DM-1000,0
23223,DS-1600,4
23233,DS-1600,18
23257,MM-2700,26
23335,TW-2900,0
23440,WH-0200,0
23445,KC-0300,19
23465,KC-0300,12
23494,DP-1900,0
23537,DH-4100,0
23562,ED-0100,0
23641,DP-1200,0
23694,DH-3600,0
23961,DN-0800,7
24044,EW-1200,1
24142,CB-4100,12
24154,BW-1100,0
24358,AW-1300,13
24537,DM-1000,2
24563,RP-1000,10
24585,LF-0300,12
24673,BT-0500,38
24897,BW-0300,31
24909,SM-0200,22
24936,BW-0300,7
25006,PS-1000,0
25053,ZB-0300,23
25254,AE-0400,4
25465,PP-0500,87
25511,JB-7900,11
25533,MW-0800,1
25654,RC-2600,0
25703,BR-1300,-3
25722,WT-0100,1
25887,RW-4100,0
25900,PS-0700,16
25904,CH-1800,42
25936,PS-0700,0
25969,RL-0600,0
26044,TP-0400,38
26078,DR-2100,0
26113,BU-0200,19
26132,BR-1300,3
26184,RB-1700,7
26199,ST-1300,75
26250,FB-0700,0
26271,DJ-0800,16
26380,TM-1100,0
26444,EJ-0700,-1
26644,KC-0300,2
26695,BW-0300,0
26702,CH-2200,0
26768,TS-1300,0
26781,TS-0800,0
26788,SE-0400,1
26871,RT-0200,0
26958,KW-2400,14
27073,RB-1600,0
27091,LM-1300,2
27188,CW-3700,0
27330,KS-0300,14
