UID,GID,PLAYER,PAT,FGS,FGM,FGL,FPTS
1,1,WR-0500,4,0,0,0,4
2,1,MA-0700,3,1,4,0,22
3,2,MH-3100,3,1,0,1,11
4,2,PD-0200,1,0,0,0,1
5,3,DA-0300,5,2,0,0,11
6,3,TS-1100,0,2,0,0,6
7,4,RL-1300,1,0,3,0,13
8,4,JH-0500,2,2,0,0,8
9,5,MV-0100,3,1,1,0,10
10,5,PS-0900,2,0,0,0,2
11,6,OM-0100,2,2,1,0,12
12,6,KH-1500,0,0,0,0,0
13,7,GA-0300,3,2,1,0,13
14,7,PE-0100,3,1,1,0,10
15,8,AV-0400,1,1,0,0,4
16,8,MG-1200,3,0,0,0,3
17,9,DB-3900,1,0,1,0,5
18,9,JH-0900,0,2,0,0,6
19,10,BD-0100,3,0,0,0,3
20,10,CB-1700,1,1,0,0,4
21,11,SJ-0300,1,0,0,0,1
22,12,MS-5200,1,3,0,0,10
23,12,KB-2300,0,0,0,0,0
24,13,BC-2300,2,2,0,0,8
25,13,RC-2900,2,1,0,0,5
26,14,SC-0700,1,1,2,0,12
27,14,AD-0800,1,2,0,0,7
28,14,CH-2900,0,0,0,0,0
29,15,JE-0200,3,3,0,0,12
30,15,JW-3300,5,0,0,0,5
31,16,MH-3100,3,2,3,0,21
32,16,MS-5200,4,0,1,0,8
33,17,SC-0700,2,1,1,0,9
34,17,RL-1300,1,1,0,0,4
35,18,PD-0200,3,1,0,0,6
36,18,NR-0100,1,0,0,0,1
37,19,JE-0200,4,1,0,1,12
38,19,MA-0700,2,0,0,0,2
39,20,JH-0900,0,3,1,1,18
40,20,BC-2300,1,1,0,0,4
41,21,MV-0100,4,1,0,0,7
42,21,SJ-0300,5,1,0,0,8
43,22,GA-0300,1,1,1,0,8
44,22,OM-0100,1,0,0,0,1
45,23,BD-0100,3,3,1,0,16
46,23,DA-0300,0,2,0,0,6
47,24,JC-0900,3,0,2,0,11
48,24,DB-3900,1,3,0,0,10
49,25,RC-2900,5,1,0,0,8
50,25,WR-0500,2,0,0,0,2
51,26,KH-1500,4,1,1,0,11
52,26,JW-3300,4,1,2,0,15
53,27,MG-1200,5,1,1,0,12
54,27,PE-0100,0,0,0,0,0
55,28,AD-0800,2,1,0,0,5
56,28,PS-0900,2,0,0,0,2
57,29,CB-1700,2,2,0,2,18
58,29,TS-1100,4,0,1,0,8
59,30,AV-0400,1,4,0,0,13
60,30,JH-0500,2,0,0,0,2
61,31,MA-0700,1,2,0,0,7
62,31,RC-2900,1,1,0,0,4
63,32,BD-0100,2,0,0,0,2
64,32,PE-0100,1,0,0,0,1
65,33,PD-0200,2,3,0,0,11
66,33,KB-2300,2,1,1,0,9
67,34,JH-0900,1,1,0,0,4
68,34,MG-1200,4,1,0,0,7
69,35,DA-0300,0,0,1,0,4
70,35,RL-1300,0,2,0,0,6
71,36,SL-0600,1,2,0,0,7
72,36,NR-0100,0,0,0,0,0
73,37,JC-0900,1,0,0,1,6
74,37,PS-0900,6,0,0,0,6
75,38,GA-0300,3,0,0,0,3
76,38,AV-0400,1,0,0,0,1
77,39,SC-0700,2,0,0,0,2
78,39,JH-0500,3,1,0,1,11
79,40,JN-0600,3,4,0,0,15
80,40,SJ-0300,3,1,0,0,6
81,41,KH-1500,2,1,1,0,9
82,41,DB-3900,1,1,0,0,4
83,42,WR-0500,3,1,0,0,6
84,42,JW-3300,5,1,1,0,12
85,43,OM-0100,1,0,2,0,9
86,43,MS-5200,0,2,0,0,6
87,44,MH-3900,3,0,0,0,3
88,44,TS-1100,3,2,0,0,9
89,45,RL-1300,2,3,2,0,19
90,45,CB-1700,0,1,0,0,3
91,46,MA-0700,2,1,1,0,9
92,46,JW-3300,5,2,0,0,11
93,47,MS-5200,4,3,0,0,13
94,48,JH-0900,3,0,0,0,3
95,48,PE-0100,2,0,0,0,2
96,49,WR-0500,5,1,1,0,12
97,49,TS-1100,3,0,1,0,7
98,50,PS-0900,2,0,1,0,6
99,50,JN-0600,1,2,1,0,11
100,51,AV-0400,0,0,1,0,4
101,51,OM-0100,1,0,1,0,5
102,52,DB-3900,1,0,0,0,1
103,52,DA-0300,3,0,0,0,3
104,53,PD-0200,1,1,0,0,4
105,53,SJ-0300,4,2,0,0,10
106,54,AD-0800,2,1,2,0,13
107,54,KB-2300,2,2,0,0,8
108,55,KH-1500,2,2,0,0,8
109,55,JC-0900,0,2,2,0,14
110,56,MG-1200,2,1,0,0,5
111,56,JH-0500,1,1,1,0,8
112,57,MH-3900,1,1,0,0,4
113,58,MV-0100,5,1,1,0,12
114,58,SL-0600,2,0,0,0,2
115,59,SC-0700,1,3,0,0,10
116,59,MV-0100,1,0,1,0,5
117,60,RC-2900,1,2,0,0,7
118,60,TS-1100,0,2,0,0,6
119,61,NR-0100,1,3,0,0,10
120,61,OM-0100,4,0,1,0,8
121,62,MS-5200,0,2,2,0,14
122,63,AV-0400,4,0,0,0,4
123,63,JN-0600,0,1,0,0,3
124,64,JH-0900,3,1,0,0,6
125,64,GA-0300,4,1,0,0,7
126,65,PE-0100,3,1,1,0,10
127,65,RL-1300,3,0,1,0,7
128,66,SL-0600,1,1,1,0,8
129,66,KB-2300,3,1,0,0,6
130,67,CB-1700,2,2,0,0,8
131,67,WR-0500,3,2,0,0,9
132,68,JW-3300,6,4,0,1,23
133,68,JC-0900,4,1,0,0,7
134,69,AD-0800,4,0,0,0,4
135,69,JH-5000,2,0,0,0,2
136,70,MG-1200,2,0,1,0,6
137,70,MH-3900,2,2,0,0,8
138,71,DA-0300,3,3,0,0,12
139,71,MA-0700,1,0,1,0,5
140,72,PS-0900,3,1,0,0,6
141,72,RL-0900,2,1,0,0,5
142,73,PD-0200,3,0,0,0,3
143,73,CB-1700,2,2,1,0,12
144,74,JH-5000,1,2,0,0,7
145,74,MA-0700,0,1,1,0,7
146,75,JN-0600,2,2,2,0,16
147,75,RL-0900,0,0,1,0,4
148,76,PE-0100,1,1,0,0,4
149,76,DB-3900,4,0,1,0,8
150,77,AD-0800,2,2,1,0,12
151,77,NR-0100,2,0,0,0,2
152,78,JH-0900,4,1,0,0,7
153,78,RL-1300,1,1,1,1,13
154,79,OM-0100,2,2,0,0,8
155,79,SC-0700,1,1,1,0,8
156,80,AV-0400,3,1,0,0,6
157,80,MV-0100,1,3,0,0,10
158,81,KB-2300,2,1,1,0,9
159,81,JH-0500,0,0,1,0,4
160,82,MH-3900,2,1,0,0,5
161,82,DA-0300,2,0,0,0,2
162,83,JE-0200,3,0,0,0,3
163,83,JC-0900,1,0,0,0,1
164,84,SJ-0300,2,2,0,0,8
165,84,WR-0500,4,0,0,0,4
166,85,SL-0600,1,0,1,0,5
167,85,MS-5200,0,3,2,0,17
168,86,GA-0300,3,2,1,0,13
169,86,MG-1200,2,3,0,0,11
170,87,DA-0300,3,2,0,0,9
171,87,CB-1700,2,0,0,0,2
172,88,JC-0900,3,1,0,0,6
173,88,SC-0700,3,1,1,0,10
174,89,JE-0200,5,1,2,0,16
175,89,PD-0200,1,0,1,0,5
176,90,RL-1300,4,1,0,0,7
177,90,WR-0500,4,0,0,0,4
178,91,SJ-0300,2,0,2,0,10
179,91,TP-1200,2,1,0,0,5
180,92,JH-0500,4,2,0,0,10
181,92,AV-0400,2,1,0,0,5
182,93,DB-3900,3,1,0,0,6
183,93,JN-0600,0,0,1,1,9
184,94,BD-0100,1,2,0,0,7
185,94,TS-1100,2,0,0,0,2
186,95,KB-2300,1,2,0,0,7
187,96,MV-0100,4,2,1,0,14
188,96,RL-0900,3,0,0,1,8
189,97,MA-0700,3,0,0,0,3
190,97,JW-3300,1,0,0,0,1
191,98,KH-1500,1,1,0,0,4
192,98,MS-5200,0,0,0,1,5
193,99,PE-0100,1,1,0,0,4
194,99,GA-0300,4,0,0,0,4
195,100,MH-3100,1,1,1,0,8
196,100,AD-0800,3,2,0,0,9
197,101,MG-1200,0,1,1,2,17
198,101,JH-0900,2,1,1,0,9
199,102,MA-0700,1,0,1,1,10
200,102,DB-3900,3,0,0,0,3
201,103,MS-5200,0,2,0,0,6
202,103,AD-0800,2,0,0,0,2
203,104,JN-0600,4,2,0,0,10
204,104,WR-0500,1,1,0,0,4
205,105,JE-0200,3,0,0,0,3
206,105,NR-0100,4,1,0,0,7
207,106,TS-1100,6,2,0,0,12
208,106,CB-1700,1,0,0,0,1
209,107,AV-0400,2,3,0,0,11
210,107,MV-0100,3,1,0,0,6
211,108,KH-1500,5,0,0,0,5
212,108,MH-3100,1,2,0,1,12
213,109,TP-1200,6,2,0,0,12
214,109,PS-0900,4,0,0,0,4
215,110,GA-0300,2,3,0,0,11
216,110,SC-0700,3,1,1,0,10
217,111,RL-0900,0,0,1,0,4
218,111,SJ-0300,4,1,0,0,7
219,112,DA-0300,1,1,0,1,9
220,112,PE-0100,0,2,1,0,10
221,113,KB-2300,1,4,1,0,17
222,113,PD-0200,0,0,0,0,0
223,114,OM-0100,4,1,2,0,15
224,114,JH-0500,4,1,1,0,11
225,115,CB-1700,1,1,0,0,4
226,115,DB-3900,3,0,0,0,3
227,116,JN-0600,0,3,1,0,13
228,116,MA-0700,1,2,0,0,7
229,117,MS-5200,0,0,1,1,9
230,117,KB-2300,0,1,0,0,3
231,118,SC-0700,2,3,0,0,11
232,118,JH-0500,2,1,1,0,9
233,119,NR-0100,1,1,0,0,4
234,119,PD-0200,0,1,0,0,3
235,120,TS-1100,2,1,0,0,5
236,120,MH-3100,2,0,1,0,6
237,121,MV-0100,4,0,0,0,4
238,121,JH-0900,1,1,0,0,4
239,122,RL-1300,2,0,1,1,11
240,122,OM-0100,4,0,0,0,4
241,123,BD-0100,3,1,0,0,6
242,123,DA-0300,1,0,0,0,1
243,124,WR-0500,3,0,1,0,7
244,124,PS-0900,4,0,2,0,12
245,125,RL-0900,1,1,0,1,9
246,125,TP-1200,3,1,0,0,6
247,126,MG-1200,5,1,1,0,12
248,126,GA-0300,1,2,0,0,7
249,127,SJ-0300,0,2,2,1,19
250,127,JC-0900,1,0,0,0,1
251,128,KH-1500,3,0,0,0,3
252,128,AD-0800,3,1,1,0,10
253,129,CB-1700,1,1,0,0,4
254,129,KH-1500,0,3,0,0,9
255,130,MG-1200,3,1,0,1,11
256,130,MA-0700,2,0,0,0,2
257,131,PE-0100,3,1,1,0,10
258,131,MV-0100,1,1,0,0,4
259,132,MS-5200,3,2,0,0,9
260,132,NR-0100,1,0,0,0,1
261,133,PD-0200,0,1,0,0,3
262,133,BD-0100,3,1,0,0,6
263,134,OM-0100,2,1,2,0,13
264,135,SC-0700,1,2,1,0,11
265,135,AV-0400,1,0,2,0,9
266,136,DB-3900,4,0,1,0,8
267,136,WR-0500,1,0,0,0,1
268,137,JE-0200,3,2,1,0,13
269,137,JH-0500,2,2,1,0,12
270,138,SL-0400,7,0,0,0,7
271,138,TP-1200,4,1,0,0,7
272,139,DA-0300,1,3,0,0,10
273,139,TS-1100,1,1,1,0,8
274,140,JC-0900,0,2,1,0,10
275,140,RL-0900,2,0,1,0,6
276,141,AD-0800,0,3,0,0,9
277,141,KB-2300,1,0,0,0,1
278,142,JN-0600,1,2,2,0,15
279,142,PS-0900,3,1,0,0,6
280,143,GA-0300,2,1,1,0,9
281,143,RL-1300,2,2,0,0,8
282,144,SC-0700,2,1,1,0,9
283,144,PE-0100,0,1,0,0,3
284,145,DB-3900,2,0,2,0,10
285,145,JN-0600,1,1,0,0,4
286,146,PD-0200,1,3,1,0,14
287,146,AV-0400,0,1,0,0,3
288,147,TS-1100,2,1,2,0,13
289,147,NR-0100,0,2,0,0,6
290,148,JH-0900,1,1,1,0,8
291,148,MA-0700,1,0,1,0,5
292,149,MH-3100,3,0,0,0,3
293,149,RL-0900,4,0,0,0,4
294,150,GA-0300,4,1,0,0,7
295,150,CB-1700,2,0,0,0,2
296,151,JW-3300,1,0,0,0,1
297,151,JH-0400,4,0,0,1,9
298,151,BD-0100,3,1,0,0,6
299,152,DA-0300,2,1,3,0,17
300,152,KB-2300,2,1,1,1,14
301,153,OM-0100,2,1,0,0,5
302,153,JC-0900,1,0,0,0,1
303,154,WR-0500,3,0,0,0,3
304,154,TP-1200,1,0,0,0,1
305,155,MG-1200,2,0,0,2,12
306,155,RL-1300,0,0,2,1,13
307,156,MS-5200,3,0,1,0,7
308,156,AD-0800,2,1,0,0,5
309,157,MV-0100,2,3,0,0,11
310,157,JH-0500,1,0,0,0,1
311,158,JE-0200,3,1,1,0,10
312,158,BC-2300,3,1,0,0,6
313,159,MS-5200,3,2,0,0,9
314,159,TS-1100,0,0,0,0,0
315,160,PE-0100,1,1,1,0,8
316,160,MG-1200,1,1,0,0,4
317,161,JC-0900,4,2,1,0,14
318,161,JE-0200,5,1,0,0,8
319,162,RL-1300,3,0,1,0,7
320,162,MV-0100,3,1,0,0,6
321,163,SC-0700,3,0,0,0,3
322,163,TP-1200,2,1,0,0,5
323,164,JH-0500,2,2,0,0,8
324,164,OM-0100,0,0,1,0,4
325,165,JN-0600,2,1,0,0,5
326,165,GA-0300,4,0,1,0,8
327,166,AV-0400,1,3,0,0,10
328,166,NR-0100,1,1,1,0,8
329,167,SJ-0300,4,0,1,0,8
330,167,DB-3900,1,1,2,0,12
331,168,JH-0900,4,1,0,0,7
332,168,BD-0100,3,0,0,0,3
333,169,CB-1700,0,0,1,0,4
334,169,DA-0300,4,1,1,0,11
335,170,WR-0500,1,3,0,0,10
336,170,MA-0700,0,1,0,1,8
337,171,PD-0200,1,1,0,0,4
338,171,AD-0800,3,1,0,0,6
339,172,KB-2300,1,0,1,0,5
340,172,MH-3100,4,2,0,0,10
341,173,JH-0400,2,1,1,0,9
342,173,EM-2000,1,2,2,0,15
343,174,TS-1100,0,2,1,0,10
344,174,GA-0300,3,1,1,0,10
345,175,JH-0900,4,2,0,0,10
346,175,AV-0400,0,1,2,0,11
347,176,PD-0200,1,0,0,0,1
348,176,MS-5200,5,3,0,0,14
349,177,KB-2300,6,1,1,0,13
350,177,NR-0100,4,0,0,0,4
351,178,MV-0100,2,0,0,0,2
352,178,OM-0100,2,1,0,0,5
353,179,MH-3100,1,3,0,0,10
354,179,AD-0800,1,2,0,0,7
355,180,JH-0500,2,1,0,0,5
356,180,PE-0100,1,1,0,0,4
357,181,MA-0700,2,0,0,0,2
358,181,SJ-0300,5,2,0,0,11
359,182,TP-1200,1,3,0,0,10
360,182,JC-0900,2,0,0,1,7
361,183,RL-0900,4,0,1,0,8
362,183,JE-0200,5,1,0,0,8
363,184,JH-0400,3,1,0,0,6
364,184,DB-3900,4,1,0,0,7
365,185,MG-1200,4,0,1,0,8
366,185,SC-0700,2,1,0,0,5
367,186,EM-2000,2,2,0,0,8
368,186,DA-0300,2,3,0,0,11
369,187,BD-0100,4,1,0,0,7
370,187,CB-1700,1,0,0,0,1
371,188,JN-0600,4,1,0,0,7
372,188,RL-1300,2,0,0,0,2
373,189,GA-0300,3,0,1,0,7
374,189,JH-0900,2,0,0,1,7
375,190,RL-0900,3,1,2,0,14
376,190,MA-0700,1,1,0,0,4
377,191,OM-0100,3,4,0,0,15
378,191,SC-0700,0,0,0,0,0
379,192,JW-3300,0,1,0,0,3
380,192,JN-0600,1,3,0,0,10
381,193,NR-0100,3,1,0,0,6
382,193,CB-1700,1,0,0,0,1
383,194,MH-3100,6,1,1,0,13
384,195,DB-3900,2,2,1,0,12
385,195,JE-0200,5,1,0,0,8
386,196,JH-0500,3,1,1,0,10
387,196,MV-0100,2,1,0,0,5
388,197,DA-0300,1,1,1,0,8
389,197,AD-0800,0,2,2,1,19
390,198,KB-2300,3,0,0,0,3
391,198,SJ-0300,2,0,2,0,10
392,199,JC-0900,2,1,0,0,5
393,199,WR-0500,4,3,0,0,13
394,200,MG-1200,3,2,0,0,9
395,200,TS-1100,1,0,0,0,1
396,201,EM-2000,1,0,0,0,1
397,201,BD-0100,0,2,1,0,10
398,202,RL-1300,4,0,0,0,4
399,202,PE-0100,0,1,1,0,7
400,203,AV-0400,3,1,1,1,15
401,203,TP-1200,3,0,1,0,7
402,204,MS-5200,3,1,0,0,6
403,204,JC-0900,0,0,1,0,4
404,205,PE-0100,3,1,0,0,6
405,205,AV-0400,2,0,1,0,6
406,206,DA-0300,5,0,0,0,5
407,206,PD-0200,3,1,0,0,6
408,207,TS-1100,2,3,1,0,15
409,207,EM-2000,1,0,0,0,1
410,208,RL-0900,3,1,0,0,6
411,208,JE-0200,4,1,0,0,7
412,209,RL-1300,2,3,1,0,15
413,209,JH-0900,1,2,0,0,7
414,210,MH-3100,5,1,1,1,17
415,210,CB-1700,1,1,0,0,4
416,211,JN-0600,2,0,0,0,2
417,211,TP-1200,0,3,0,0,9
418,212,OM-0100,1,2,0,0,7
419,212,MG-1200,1,2,1,0,11
420,213,BD-0100,3,2,1,0,13
421,213,KB-2300,1,1,0,0,4
422,214,WR-0500,3,0,0,0,3
423,214,DB-3900,2,1,2,0,13
424,215,JW-3300,4,2,0,0,10
425,215,GA-0300,3,0,0,0,3
426,216,AD-0800,5,0,0,0,5
427,216,NR-0100,0,0,1,0,4
428,217,SJ-0300,4,1,0,0,7
429,217,JH-0500,1,0,0,0,1
430,218,SC-0700,0,1,1,0,7
431,218,MV-0100,5,3,0,0,14
432,219,EM-2000,0,1,0,0,3
433,219,KB-2300,3,1,0,0,6
434,220,RL-0900,1,0,1,1,10
435,220,SJ-0300,3,1,0,0,6
436,221,MS-5200,1,0,2,0,9
437,221,CB-1700,1,0,0,0,1
438,222,AV-0400,1,2,0,0,7
439,222,SC-0700,1,1,0,0,4
440,223,JN-0600,3,1,0,0,6
441,223,JC-0900,2,0,0,0,2
442,224,MH-3100,2,0,0,0,2
443,224,NR-0100,2,1,0,0,5
444,225,AD-0800,3,1,0,0,6
445,226,TP-1200,2,1,1,0,9
446,226,JE-0200,1,0,0,0,1
447,227,MV-0100,2,1,1,0,9
448,227,OM-0100,1,2,0,0,7
449,228,RL-1300,3,3,1,0,16
450,228,GA-0300,4,0,0,0,4
451,229,DB-3900,2,1,2,0,13
452,229,MA-0700,1,0,0,0,1
453,230,JH-0500,1,0,0,0,1
454,230,JH-0900,1,1,0,0,4
455,231,WR-0500,2,1,0,0,5
456,232,BD-0100,2,0,1,0,6
457,232,TS-1100,1,0,2,0,9
458,233,MG-1200,5,1,0,0,8
459,233,JW-3300,5,0,0,0,5
460,234,JE-0200,5,1,0,0,8
461,234,WR-0500,0,0,1,0,4
462,235,BD-0100,4,0,0,0,4
463,235,MH-3100,2,1,0,0,5
464,236,SC-0700,6,0,0,0,6
465,236,RL-0900,2,1,0,0,5
466,237,MA-0700,2,3,2,0,19
467,237,TP-1200,1,0,0,0,1
468,238,BC-2300,2,1,1,0,9
469,238,MS-5200,3,0,1,0,7
470,239,JH-0900,2,1,1,0,9
471,239,PE-0100,2,1,0,2,15
472,240,RL-1300,2,1,0,0,5
473,240,MG-1200,0,1,1,0,7
474,241,MV-0100,4,1,0,0,7
475,241,GA-0300,1,1,0,0,4
476,242,OM-0100,3,0,2,0,11
477,242,AV-0400,3,1,0,0,6
478,243,JW-3300,2,2,0,0,8
479,243,DB-3900,3,0,0,0,3
480,244,SJ-0300,7,0,1,0,11
481,244,JN-0600,0,1,1,1,12
482,245,DA-0300,1,2,1,0,11
483,245,NR-0100,1,0,0,0,1
484,246,JC-0900,3,0,0,0,3
485,246,KB-2300,4,2,0,0,10
486,247,EM-2000,2,0,1,0,6
487,247,SB-0500,0,0,0,1,5
488,247,CB-1700,0,1,0,0,3
489,248,AD-0800,4,1,0,0,7
490,249,MV-0100,0,2,0,1,11
491,249,OM-0100,2,1,0,0,5
492,250,JW-3300,2,0,0,0,2
493,250,DB-3900,4,1,0,0,7
494,251,MS-5200,3,0,0,0,3
495,251,JE-0200,0,1,0,0,3
496,252,MG-1200,0,1,0,0,3
497,252,DA-0300,3,0,0,0,3
498,253,GA-0300,4,1,1,0,11
499,253,DB-3900,1,1,0,0,4
500,254,SJ-0300,3,2,0,0,9
501,255,BD-0100,2,2,0,0,8
502,255,DA-0300,1,1,0,0,4
503,256,AD-0800,1,1,0,0,4
504,256,MS-5200,3,1,0,0,6
505,257,BD-0100,5,2,0,0,11
506,258,MS-5200,1,3,0,0,10
507,258,SJ-0300,0,1,0,0,3
508,259,MS-5200,4,1,1,0,11
509,259,BD-0100,1,0,0,0,1
510,260,PE-0100,0,1,1,0,7
511,260,MS-5200,2,1,0,0,5
512,261,JA-2100,0,2,0,0,6
513,261,JC-0900,3,1,0,0,6
514,262,AV-0400,2,1,0,0,5
515,262,NR-0100,2,2,1,0,12
516,263,PD-0200,0,1,1,0,7
517,263,RL-0900,0,1,1,1,12
518,264,MG-1200,1,1,0,0,4
519,264,TS-1100,0,1,1,0,7
520,265,RL-1300,4,0,0,0,4
521,265,JH-0900,0,1,1,0,7
522,266,KB-2300,0,0,1,0,4
523,266,MH-3100,3,0,0,0,3
524,267,TP-1200,3,1,0,0,6
525,267,SJ-0300,1,2,2,0,15
526,268,JK-0200,3,1,0,0,6
527,268,GA-0300,1,0,0,0,1
