PID,KICKER,KGRO,KNET,KTB,KR,KRY
1,MA-0700,65,44,N,KW-1500,21
11,WR-0500,72,15,N,DV-0200,57
18,MA-0700,65,54,N,KW-1500,11
35,MA-0700,70,50,Y,XX-0000,0
53,MA-0700,72,48,N,KW-1500,24
65,MA-0700,64,46,N,TJ-1100,18
77,MA-0700,69,50,N,JS-6900,19
87,WR-0500,58,53,N,TD-2500,5
96,WR-0500,78,30,N,TD-2500,48
100,MA-0700,70,50,Y,XX-0000,0
113,WR-0500,71,50,N,TD-2500,21
124,MA-0700,70,50,Y,XX-0000,0
160,WR-0500,46,32,N,BK-1100,14
167,PD-0200,70,50,Y,XX-0000,0
208,SL-0600,60,38,N,JW-2500,22
228,PD-0200,66,42,N,RB-1100,24
242,SL-0600,64,53,N,JW-2500,11
245,SL-0600,71,53,N,JW-2500,18
262,SL-0600,70,50,Y,XX-0000,0
278,SL-0600,72,53,N,DP-0500,19
301,SL-0600,69,50,N,DP-0500,19
314,DA-0300,12,12,N,XX-0000,0
325,DA-0300,71,52,N,JT-3900,19
353,DA-0300,71,42,N,JT-3900,29
358,DA-0300,67,41,N,JT-3900,26
376,DA-0300,67,45,N,JT-3900,22
388,MK-1100,69,40,N,BM-3300,29
402,MK-1100,70,50,Y,XX-0000,0
417,DA-0300,61,39,N,JT-3900,22
433,DA-0300,70,50,Y,XX-0000,0
441,DA-0300,66,30,N,XX-0000,0
458,MK-1100,12,12,N,XX-0000,0
478,JH-0500,71,43,N,AR-1700,28
494,RL-1300,59,45,N,AG-0800,14
511,JH-0500,71,43,N,AR-1700,28
542,RL-1300,70,46,N,LC-0800,24
564,JH-0500,64,38,N,BM-3100,26
566,RL-1300,30,8,N,AG-0800,22
596,RL-1300,65,50,N,AG-0800,15
619,JH-0500,49,36,N,MM-5400,13
627,RL-1300,61,44,N,LC-0800,17
635,JH-0500,60,39,N,AR-1700,21
650,DK-0500,70,50,Y,XX-0000,0
688,DK-0500,70,43,N,MC-1600,27
711,TS-0500,64,43,N,PW-1100,21
729,TS-0500,70,50,Y,XX-0000,0
745,DK-0500,70,46,N,MC-1600,24
757,TS-0500,63,51,N,PW-1100,12
776,DK-0500,71,53,N,MC-1600,18
781,DK-0500,68,50,N,MC-1600,18
800,DK-0500,62,38,N,MC-1600,24
814,KH-1500,66,40,N,BM-0200,26
829,OM-0100,59,48,N,CR-1500,11
843,OM-0100,62,51,N,CR-1500,11
852,OM-0100,64,50,N,CR-1500,14
860,OM-0100,67,34,N,CR-1500,33
886,OM-0100,70,49,N,CR-1500,21
890,OM-0100,63,45,N,CR-1500,18
961,PE-0100,63,42,N,TC-1100,21
970,MB-2100,72,48,N,GM-1100,24
983,PE-0100,63,43,N,TC-1100,20
991,MB-2100,65,44,N,GM-1100,21
1020,PE-0100,67,29,N,TC-1100,38
1028,MB-2100,68,37,N,GM-1100,31
1041,PE-0100,71,50,N,TC-1100,21
1043,MB-2100,68,44,N,GM-1100,24
1053,PE-0100,66,42,N,TC-1100,24
1064,MB-2100,65,48,N,GM-1100,17
1088,MB-2100,70,36,N,GM-1100,34
1105,MB-2100,69,45,N,GM-1100,24
1118,PE-0100,15,15,N,XX-0000,0
1122,AV-0400,72,42,N,KW-1100,30
1130,AV-0400,70,37,N,KW-1100,33
1169,MG-1200,64,24,N,KF-0200,40
1179,AV-0400,56,31,N,KW-1100,25
1199,MG-1200,72,45,N,KF-0200,27
1204,MG-1200,70,50,Y,XX-0000,0
1236,MG-1200,63,45,N,KF-0200,18
1277,AV-0400,75,55,Y,XX-0000,0
1292,TG-1500,59,41,N,DH-4200,18
1308,TG-1500,65,50,N,DH-4200,15
1352,JH-0900,70,55,N,CM-3100,15
1363,JH-0900,74,51,N,CM-3100,23
1376,JH-0900,71,49,N,CM-3100,22
1409,JH-0900,66,21,N,CM-3100,45
1417,TG-1500,72,55,N,DH-4200,17
1457,BD-0100,69,40,N,MJ-0700,29
1493,BD-0100,65,36,N,MJ-0700,29
1511,BD-0100,65,41,N,MJ-0700,24
1540,CB-1700,58,23,N,RD-1200,35
1574,CB-1700,60,40,N,RD-1200,20
1591,BD-0100,60,50,N,MJ-0700,10
1611,CB-1700,13,13,N,XX-0000,0
1622,CB-1700,23,30,N,XX-0000,0
1624,JC-0900,67,44,N,NK-0600,23
1712,SJ-0300,67,41,N,RJ-0700,26
1730,DB-1500,52,35,N,DG-1800,17
1767,JC-0900,64,39,N,NK-0600,25
1786,SJ-0300,74,54,Y,XX-0000,0
1794,MS-5200,60,35,N,HP-0100,25
1813,MS-5200,72,49,N,HW-0100,23
1821,MS-5200,70,50,Y,XX-0000,0
1867,KB-2300,60,22,N,QI-0100,38
1876,MS-5200,70,50,Y,XX-0000,0
1950,RC-2900,66,49,N,JT-2800,17
1964,BC-2300,62,-30,N,MB-1000,92
