UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
1,27,SF,JB-7400,Defensive Holding,5,5,A
2,32,ATL,XX-0000,False Start,1,5,A
3,45,SF,BY-0400,Defensive Offside,4,5,A
4,48,SF,AP-1700,Defensive Holding,5,5,A
5,53,SF,JK-0400,Illegal Block Above the Waist,7,7,A
6,60,SF,AP-1600,Defensive Offside,4,5,A
7,68,ATL,TH-0300,Defensive Offside,4,4,A
8,81,ATL,SD-0900,Defensive Offside,4,5,A
9,84,ATL,RB-4600,Defensive Pass Interference,5,37,A
10,94,SF,JP-2500,Defensive Offside,4,5,A
11,105,ATL,EJ-0400,Defensive Holding,5,0,D
12,122,SF,RB-3500,Offensive Holding,2,0,D
13,127,SF,JN-1200,Offensive Holding,2,10,A
14,131,SF,TJ-1100,Illegal Touch Kick,3,0,D
15,212,CLE,XX-0000,Delay of Game,3,5,A
16,232,JAC,TB-1800,False Start,1,5,A
17,263,CLE,EL-0300,False Start,1,5,A
18,322,DAL,XX-0000,Illegal Substitution,3,1,A
19,350,DAL,IR-0300,Defensive Pass Interference,5,26,A
20,353,DAL,RT-0800,Offensive Holding,2,10,A
21,380,PHI,MC-0100,Offensive Holding,2,10,A
22,394,DAL,XX-0000,Ineligible Downfield Pass,3,0,D
23,420,DAL,RC-2800,Delay of Game,3,5,A
24,443,PHI,CE-0500,Defensive Offside,4,5,A
25,444,DAL,SP-0200,Offensive Holding,2,0,D
26,447,DAL,FA-0100,Illegal Use of Hands,2,10,A
27,449,DAL,EW-1100,Unnecessary Roughness,6,15,A
28,457,DAL,XX-0000,Kickoff Out of Bounds,3,5,A
29,467,PHI,AH-1000,Defensive Holding,5,5,A
30,470,DAL,EW-1100,Unsportsmanlike Conduct,6,14,A
31,470,DAL,EW-1100,Unsportsmanlike Conduct,6,7,A
32,471,PHI,HD-0400,Neutral Zone,4,5,A
33,486,NYJ,EL-0500,Defensive Offside,4,5,A
34,506,GB,TM-1100,Illegal Use of Hands,5,5,A
35,513,NYJ,JF-0100,Illegal Use of Hands,2,10,A
36,529,NYJ,JF-0100,False Start,1,5,A
37,537,GB,MR-0900,Offensive Holding,2,10,A
38,546,NYJ,VT-0200,Intentional Grounding,3,10,A
39,547,GB,TM-1100,Defensive Holding,5,10,A
40,562,NYJ,XX-0000,Illegal Formation,3,0,D
41,577,GB,LB-1800,Face Mask,6,5,A
42,578,NYJ,JF-0100,Tripping,7,10,A
43,579,NYJ,XX-0000,Illegal Shift,3,5,A
44,582,NYJ,VT-0200,Intentional Grounding,3,10,A
45,586,GB,ED-0600,False Start,1,5,A
46,590,NYJ,VG-0200,Defensive Holding,5,5,A
