PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
22,CS-3700,39,39,N,TD-2500,0,Y
39,CS-3700,33,33,N,TD-2500,0,Y
57,CS-3700,49,34,N,TD-2500,15,N
70,CS-3700,39,33,N,TD-2500,6,N
119,DS-4900,44,44,N,KW-1500,0,N
131,CS-3700,36,36,N,XX-0000,0,N
136,DS-4900,51,31,Y,XX-0000,0,N
175,SL-0600,41,21,Y,XX-0000,0,N
179,CG-0300,66,57,N,RB-1100,9,N
183,SL-0600,46,46,N,DN-1400,0,Y
191,CG-0300,54,54,N,XX-0000,0,N
213,CG-0300,49,41,N,RB-1100,8,N
218,SL-0600,30,30,N,XX-0000,0,N
267,CG-0300,39,39,N,RB-1100,0,N
282,CG-0300,46,46,N,XX-0000,0,N
332,MK-1100,31,31,N,XX-0000,0,N
338,SL-0100,41,21,Y,XX-0000,0,N
342,MK-1100,51,38,N,BM-3300,13,N
362,MK-1100,46,46,N,BM-3300,0,Y
380,MK-1100,47,35,N,BM-3300,12,N
393,SL-0100,47,45,N,JG-0500,2,N
422,MK-1100,43,38,N,BM-3300,5,N
437,MK-1100,47,45,N,BM-3300,2,N
473,MK-1100,47,47,N,BM-3300,0,Y
488,JB-3500,35,35,N,DW-0800,0,Y
521,JB-3500,39,39,N,DW-0800,0,Y
532,TT-1700,45,2,N,AR-1700,43,N
547,TT-1700,43,43,N,XX-0000,0,N
551,JB-3500,30,30,N,XX-0000,0,N
606,TT-1700,57,37,Y,XX-0000,0,N
612,JB-3500,41,41,N,DW-0800,0,N
654,TS-0500,52,44,N,PW-1100,8,N
664,TS-0500,52,35,N,PW-1100,17,N
673,TS-0500,46,46,N,PW-1100,0,Y
699,TS-0500,35,15,Y,XX-0000,0,N
705,HS-0200,53,36,N,LP-0100,17,N
717,HS-0200,56,36,Y,XX-0000,0,N
723,TS-0500,44,44,N,XX-0000,0,N
734,HS-0200,55,35,Y,XX-0000,0,N
738,TS-0500,41,26,N,PW-1100,15,N
762,HS-0200,62,61,N,LP-0100,1,N
766,TS-0500,52,12,N,PW-1100,40,N
790,TS-0500,54,34,Y,XX-0000,0,N
870,MT-2300,44,24,Y,XX-0000,0,N
894,JF-0800,33,25,N,BK-0500,8,N
900,JF-0800,32,22,N,BK-0500,10,N
904,MT-2300,19,19,N,XX-0000,0,N
908,JF-0800,52,57,N,BK-0500,-5,N
912,MT-2300,56,53,N,CR-1500,3,N
917,JF-0800,45,45,N,XX-0000,0,N
924,MT-2300,47,7,N,CR-1500,40,N
933,MT-2300,24,22,N,CR-1500,2,N
938,JF-0800,47,42,N,LS-0700,5,N
942,MT-2300,58,38,Y,XX-0000,0,N
