PID,SAF
1729,DR-3600
9299,CB-2800
9556,IR-0300
12717,JH-0200
15496,JP-3600
19638,JW-4700
26315,RM-1000
28262,BS-2800
36303,AF-0800
38720,MM-2300
60855,OR-0200
61664,TB-2200
65562,JT-1200
74333,JF-1800
86452,SP-0700
102056,FR-0100
111038,RM-3800
130909,JA-2300
137095,RB-2300
138621,LG-0300
138629,KC-1700
142379,GW-1700
146930,JT-0900
161428,JU-0100
163621,OH-0500
190358,PW-0900
194341,AO-0300
195929,GF-0200
196057,CR-0500
204294,DS-2700
209277,TB-3500
210820,SK-0500
213940,BS-2500
219319,SQ-0100
219580,RR-0300
232637,KC-0500
236698,DW-2800
242363,JT-0900
244876,LF-0300
248782,AL-0100
250283,LF-0500
254354,DV-0300
259029,TW-0700
262222,AT-0400
274047,MH-3700
274448,LA-0600
277143,LM-0400
283234,MR-2300
287513,JD-1700
288151,TJ-1200
306175,GW-0300
308055,LM-0400
312108,AC-0700
317881,DF-1900
322538,CK-0300
328644,AC-0400
330160,AC-2500
331527,WS-0800
339798,KG-0700
346502,AO-0300
351025,CG-1800
353418,GW-1500
356942,JA-0900
360716,JM-2400
361336,CA-0800
366415,JA-0900
367940,JR-2200
369682,JH-2100
385411,AS-2400
389191,DM-0200
395254,BC-3100
397047,JA-0900
397443,TD-0700
398188,DH-4100
400611,TH-0200
402761,HT-0500
413132,LD-0400
416623,ZD-0200
437511,BS-1900
442753,JB-0300
457128,TP-2300
466442,JT-0900
466608,QG-0400
467940,JH-0300
473734,MD-0300
476880,MW-1800
479194,GH-0300
484935,AH-0800
486872,AS-1500
488495,SP-0100
489485,RB-0700
494838,JH-0300
498838,KS-0800
504619,JA-0900
506414,SP-1500
506913,PH-0800
507089,RM-2000
507324,AA-1400
507951,JP-2900
512237,CC-0500
524701,JH-5500
525421,ED-1000
530283,KO-0400
532341,CK-0300
534495,CB-0800
540843,MA-0200
542670,SP-1100
544780,RM-2400
555642,KV-0100
562583,CC-5300
564972,TC-2000
566111,JM-2000
574953,CC-0200
577709,CL-0850
579553,ES-0800
583063,CW-0100
587291,LD-0150
592467,NS-0800
597007,JA-0100
598141,CR-0500
601955,NF-0100
602800,CT-1300
