PID,PTS
9,7
17,3
34,3
52,3
64,3
75,7
85,7
95,3
98,7
111,7
122,-7
158,7
206,7
226,7
241,3
260,7
277,3
299,7
323,7
351,7
356,-7
375,3
387,3
401,3
416,3
431,7
439,7
455,8
492,7
509,7
541,3
563,3
595,3
618,3
626,3
633,7
686,7
709,7
743,7
755,7
775,3
779,-7
799,3
827,7
842,3
851,3
859,3
884,7
969,3
981,7
990,3
1019,3
1027,3
1040,3
1051,7
1062,7
1086,7
1103,7
1116,7
1129,3
1167,7
1177,7
1197,7
1234,7
1275,6
1306,-7
1351,3
1362,3
1406,8
1416,3
1491,7
1509,7
1573,3
1589,7
1609,7
1620,6
1729,-2
1765,6
1784,7
1812,3
1819,7
1866,3
1875,3
1962,7
1964,7
1980,3
2054,3
2075,7
2091,3
2101,7
2147,7
2166,3
2185,3
2218,3
2230,3
2245,7
2273,3
2288,7
2304,7
2315,3
2325,7
2337,7
2348,7
2362,3
2365,7
2379,7
2388,7
2407,3
2410,-6
2420,6
2438,3
2449,7
2464,7
2474,7
2503,3
2516,3
2526,8
2548,3
2560,7
2579,7
2588,3
2598,3
2607,7
2616,7
2682,7
2689,3
2695,7
2704,7
2714,3
2727,3
2737,7
2776,8
2808,7
2820,7
2830,7
2884,3
2909,7
2965,7
2971,3
2985,3
2998,7
3011,7
3033,7
3035,7
3049,8
3070,7
3127,3
3152,3
3168,7
3203,3
3212,3
3224,3
3238,3
3273,7
3287,7
3308,7
3330,7
3345,3
3355,7
3365,3
3373,7
3384,7
3404,7
3412,7
3456,3
3545,3
3573,7
3581,7
3611,3
3627,3
3645,3
3655,7
3664,7
3680,3
3691,7
3700,6
3713,3
3725,3
3735,6
3763,3
3773,7
3781,7
3805,7
3821,3
3822,7
3833,3
3858,6
3868,3
3889,3
3901,6
3921,7
3934,7
3957,7
3973,7
3997,7
4006,7
4015,3
4036,7
4068,8
4098,3
4109,3
4126,-7
4136,3
4153,7
4169,7
4180,7
4190,3
4198,7
4208,7
4216,-7
4226,7
4236,3
4287,3
4303,3
4309,7
4314,-7
